pred,resp,E,r_G4,r16,r50,r84,r_xcom
Density,LAC,10.0,0.9950326915688161,0.9836602715764902,0.9892594697807857,0.9935550965477847,0.9995163366782395
Density,LAC,15.0,0.9948875388851741,0.9831776976344451,0.9892597930588964,0.9934146762335363,0.9996257140707971
Density,Zeff,0.01,-0.2171336417525438,-0.2171336417525438,-0.2171336417525438,-0.2171336417525438,-0.2171336417525438
Density,Zeff,0.03,0.7547727517561397,0.7547727517561397,0.7547727517561397,0.7547727517561397,0.7547727517561397
Density,Zeff,0.05,0.9211459290463135,0.9211459290463135,0.9211459290463135,0.9211459290463135,0.9211459290463135
Density,Zeff,0.08,0.9522166651343622,0.9522166651343622,0.9522166651343622,0.9522166651343622,0.9522166651343622
Density,Zeff,0.1,0.9566822301220841,0.9566822301220841,0.9566822301220841,0.9566822301220841,0.9566822301220841
Density,Zeff,1.0,0.961267569712525,0.961267569712525,0.961267569712525,0.961267569712525,0.961267569712525
Density,Zeff,10.0,0.9679919509419933,0.9679919509419933,0.9679919509419933,0.9679919509419933,0.9679919509419933
Density,Zeff,15.0,0.9713531611816917,0.9713531611816917,0.9713531611816917,0.9713531611816917,0.9713531611816917
BSA fraction,MAC,0.01,0.5107713713771902,0.4891572897895981,0.5104582015306914,0.531668052336845,0.460328904761133
BSA fraction,MAC,0.03,0.7664575904517318,0.7402491128548859,0.7645740036408997,0.7859638604857534,0.7448511400386014
BSA fraction,MAC,0.05,0.8641151867737084,0.7396298329416334,0.8136244645778883,0.8739158106753202,0.9664522280349933
BSA fraction,MAC,0.08,0.4392136453260313,0.2536432282313654,0.3980171221122323,0.5406148144874333,0.5840305671460057
BSA fraction,MAC,0.1,0.5125181927034487,0.3492634141583238,0.4765793065410219,0.5916753997292967,0.4214002050409711
BSA fraction,MAC,1.0,0.08164402362572692,-0.0960707633023942,0.07710866042571621,0.24960801189506082,0.25873236622813206
BSA fraction,MAC,10.0,-0.09103886474857266,-0.3117854628323458,-0.055602611852560865,0.20370708264063048,-0.5981031350177433
BSA fraction,MAC,15.0,-0.02955713074312374,-0.2802176281584071,-0.01214714081385005,0.2548650841808656,-0.8941268389011083
BSA fraction,LAC,0.01,-0.15604992962389377,-0.16870022855520658,-0.15575949774945924,-0.1423493882566948,-0.18872261499162465
BSA fraction,LAC,0.03,-0.33582291250380913,-0.3453979130966862,-0.3354825784271993,-0.32557818102346237,-0.33594560857043804
BSA fraction,LAC,0.05,-0.5330453237474317,-0.5442654412697551,-0.5325118632822267,-0.5206682877774492,-0.5195967207203425
BSA fraction,LAC,0.08,-0.5887640576147847,-0.6002902678155896,-0.5880105900078103,-0.5761115982103729,-0.5878457154684602
BSA fraction,LAC,0.1,-0.5857157578385318,-0.5978870582629694,-0.5849307108605977,-0.5722367503380893,-0.6006204036887469
BSA fraction,LAC,1.0,-0.6281727199627213,-0.6451855735930049,-0.6267216223016813,-0.6084267614736093,-0.6159272334835515
BSA fraction,LAC,10.0,-0.6254970324485968,-0.6522691487441312,-0.6217671766825588,-0.5902635757768395,-0.6104800141740058
BSA fraction,LAC,15.0,-0.5750105662433376,-0.6038451300211748,-0.5711773716856419,-0.5382215496751246,-0.6082168486121574
BSA fraction,Zeff,0.01,0.916216319320649,0.916216319320649,0.916216319320649,0.916216319320649,0.916216319320649
BSA fraction,Zeff,0.03,0.0740432233279841,0.0740432233279841,0.0740432233279841,0.0740432233279841,0.0740432233279841
