set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix9,0.5,0.000144,0.997852,0.002004,0.000000,0.093360
new,Mix9,0.511,0.000137,0.997926,0.001937,0.000000,0.092506
new,Mix9,0.6,0.000097,0.998397,0.001506,0.000000,0.086321
new,Mix9,0.662,0.000079,0.998629,0.001293,0.000000,0.082648
new,Mix9,0.8,0.000056,0.998979,0.000965,0.000000,0.075804
new,Mix9,1,0.000039,0.999274,0.000687,0.000000,0.068153
new,Mix9,1.173,0.000029,0.999342,0.000541,0.000088,0.062963
new,Mix9,1.33,0.000025,0.998969,0.000449,0.000557,0.059033
new,Mix9,1.5,0.000022,0.998015,0.000375,0.001588,0.055466
new,Mix9,2,0.000016,0.992368,0.000246,0.007370,0.047601
new,Mix9,2.51,0.000013,0.983571,0.000177,0.016239,0.042063
new,Mix9,3,0.000011,0.973230,0.000136,0.026622,0.038183
new,Mix9,4,0.000009,0.948456,0.000090,0.051446,0.032682
new,Mix9,5,0.000008,0.921112,0.000065,0.078816,0.029063
new,Mix9,6,0.000007,0.892521,0.000049,0.107423,0.026510
new,Mix9,7,0.000006,0.863870,0.000039,0.136085,0.024618
new,Mix9,8,0.000005,0.835627,0.000032,0.164336,0.023162
new,Mix9,9,0.000005,0.808087,0.000026,0.191882,0.022017
new,Mix9,10,0.000005,0.781602,0.000022,0.218372,0.021090
new,Mix9,11,0.000004,0.756268,0.000019,0.243708,0.020330
new,Mix9,12,0.000004,0.732094,0.000017,0.267886,0.019696
new,Mix9,13,0.000004,0.708900,0.000014,0.291082,0.019160
new,Mix9,14,0.000004,0.686895,0.000013,0.313088,0.018708
new,Mix9,15,0.000003,0.665979,0.000011,0.334007,0.018320
new,Mix10,0.01,0.911250,0.038249,0.050501,0.000000,3.875243
new,Mix10,0.015,0.776977,0.130870,0.092152,0.000000,1.248791
new,Mix10,0.02,0.607618,0.271409,0.120974,0.000000,0.631033
new,Mix10,0.03,0.320144,0.554090,0.125765,0.000000,0.319082
new,Mix10,0.04,0.164799,0.733405,0.101795,0.000000,0.240677
new,Mix10,0.05,0.090605,0.830782,0.078613,0.000000,0.209510
new,Mix10,0.06,0.053789,0.884972,0.061239,0.000000,0.192974
new,Mix10,0.08,0.022927,0.937471,0.039601,0.000000,0.174545
new,Mix10,0.1,0.011724,0.960581,0.027695,0.000000,0.163140
new,Mix10,0.15,0.003494,0.982274,0.014232,0.000000,0.144482
new,Mix10,0.2,0.001513,0.989627,0.008860,0.000000,0.131708
new,Mix10,0.3,0.000492,0.994933,0.004575,0.000000,0.114142
new,Mix10,0.356,0.000315,0.996212,0.003473,0.000000,0.106941
new,Mix10,0.4,0.000235,0.996882,0.002883,0.000000,0.102146
new,Mix10,0.5,0.000139,0.997837,0.002024,0.000000,0.093237
new,Mix10,0.511,0.000132,0.997912,0.001956,0.000000,0.092385
new,Mix10,0.6,0.000094,0.998386,0.001521,0.000000,0.086207
new,Mix10,0.662,0.000076,0.998619,0.001305,0.000000,0.082538
new,Mix10,0.8,0.000054,0.998972,0.000975,0.000000,0.075705
new,Mix10,1,0.000037,0.999269,0.000694,0.000000,0.068065
new,Mix10,1.173,0.000028,0.999337,0.000546,0.000089,0.062880
new,Mix10,1.33,0.000024,0.998961,0.000453,0.000562,0.058956
new,Mix10,1.5,0.000021,0.997999,0.000379,0.001601,0.055394
new,Mix10,2,0.000015,0.992305,0.000248,0.007431,0.047542
new,Mix10,2.51,0.000012,0.983437,0.000178,0.016372,0.042012
new,Mix10,3,0.000011,0.973015,0.000138,0.026837,0.038141
new,Mix10,4,0.000009,0.948059,0.000090,0.051842,0.032653
new,Mix10,5,0.000007,0.920530,0.000065,0.079398,0.029043
new,Mix10,6,0.000006,0.891762,0.000050,0.108182,0.026497
new,Mix10,7,0.000006,0.862948,0.000039,0.137007,0.024612
new,Mix10,8,0.000005,0.834561,0.000032,0.165402,0.023161
new,Mix10,9,0.000005,0.806887,0.000026,0.193081,0.022021
new,Mix10,10,0.000005,0.780294,0.000022,0.219679,0.021097
new,Mix10,11,0.000004,0.754864,0.000019,0.245112,0.020341
new,Mix10,12,0.000004,0.730604,0.000017,0.269375,0.019710
new,Mix10,13,0.000004,0.707337,0.000015,0.292645,0.019176
new,Mix10,14,0.000004,0.685269,0.000013,0.314715,0.018727
new,Mix10,15,0.000003,0.664308,0.000011,0.335678,0.018342
old,Mix1,0.01,0.904620,0.042528,0.052852,0.000000,3.521173
old,Mix1,0.015,0.760521,0.143673,0.095807,0.000000,1.147369
old,Mix1,0.02,0.583625,0.292745,0.123630,0.000000,0.589678
old,Mix1,0.03,0.297310,0.578408,0.124282,0.000000,0.307698
old,Mix1,0.04,0.150085,0.751206,0.098709,0.000000,0.236331
old,Mix1,0.05,0.081692,0.842806,0.075503,0.000000,0.207605
old,Mix1,0.06,0.048235,0.893254,0.058511,0.000000,0.192123
old,Mix1,0.08,0.020451,0.941900,0.037649,0.000000,0.174515
